Name,Rating,Country,Category,Price,ABV,Age,Brand
Canadian Hunter Canadian Whisky,40,Canada,Blended,9,40,,Canadian Hunter
Canadian LTD Blended Canadian Whiskey,43,Canada,Blended,10,,,Canadian LTD
Kellan Irish Whiskey,47,Ireland,Blended,20,40,,Kellan
Rich & Rare Canadian Whisky,47,Canada,Blended,10,,,Rich & Rare
Canadian Mist Blended Canadian Whisky,48,Canada,Blended,12,40,,Canadian Mist
Slane Castle Irish Whiskey,50,Ireland,Blended,25,,,Slane Castle
Canadian Club 6 Year Old Canadian Whisky,53,Canada,Blended,12,40,6,Canadian Club
Origine Irish Whiskey,54,Ireland,Blended,17,,,Origine
Jack Daniel's No. 7 Whiskey,54,USA,Blended,20,40,7,Jack Daniel's
Ellington Canadian Whisky,54,Canada,Blended,11,,,Ellington
Canadian Club Reserve Canadian Whisky,56,Canada,Blended,16,,10,Canadian Club
Pendleton Blended Canadian Whisky,56,Canada,Blended,26,40,,Hood River
Jim Beam Straight Rye Whiskey,57,USA,Rye,15,51,4,Jim Beam
Catoctin Creek Organic Roundstone Rye Whisky,57,USA,Rye,38,40,,Catoctin Creek
Johnnie Walker Red Label Whisky,58,Scotland,Blended,30,40,,Johnnie Walker
Danfield's Private Reserve Small Batch Canaidan Whiskey,60,Canada,Blended,25,,,Danfield
Wiser's Small Batch Canadian Whisky,60,Canada,Rye,29,43,,Wiser's
8 Seconds Canadian Whiskey,64,Canada,Blended,30,40,,8 Seconds
Feckin Irish Whiskey,64,Ireland,Blended,20,40,,Feckin
Bushmills Original Irish Whiskey,65,Ireland,Blended,24,40,,Bushmills
Jameson Irish Whiskey,65,Ireland,Blended,25,40,,Jameson
Templeton Rye Whiskey,67,USA,Rye,35,40,4,Templeton
Dalwhinnie 15 Year Old Single Malt Scotch,67,Scotland,Highlands,50,43,15,Dalwhinnie
Forty Creek John K. Hall Small Batch Reserve Whisky,67,Canada,Blended,60,40,,Forty Creek
Wiser's 18 Year Old Canadian Whisky,67,Canada,Blended,65,40,18,Wiser's
Black Velvet Reserve Canadian Whiskey,67,Canada,Blended,14,40,8,Black Velvet
Crown Royal Canadian Whisky,68,Canada,Blended,25,40,,Crown Royal
Benchmark Old No. 8 Kentucky Straight Bourbon Whiskey,68,USA,Bourbon,12,40,,Benchmark
Forty Creek Barrel Select Canadian Whiskey,69,Canada,Blended,23,40,,Forty Creek
Canadian Club Classic 12 Canadian Whisky,69,Canada,Blended,23,40,12,Canadian Club
Jim Beam Kentucky Straight Bourbon Whiskey,69,USA,Bourbon,15,40,4,Jim Beam
Sazerac Kentucky Straight Rye Whiskey,69,USA,Rye,27,45,6,Sazerac
